component,classification,purpose,header_count,public_headers,source_count,source_files,test_files,static_libs,readme_before_s3,license_status,public_status,pending_confirmation
aip8563_rtc,reusable-component,AIP8563 real-time clock adapter,1,include/aip8563_rtc.h,1,aip8563_rtc.c,0,0,True,root-license-pending,candidate,S8 license/security review
audio_hal,reusable-component,Board-level audio capability abstraction,1,include/audio_hal.h,1,audio_hal.c,0,0,True,root-license-pending,candidate,S8 license/security review
audio_processor,reusable-component,ESP-SR/Opus audio processing wrapper,3,include/audio_processor.h;include/audio_processor_task_policy.h;include/opus_codec.h,4,audio_processor.c;audio_processor_policy.c;audio_processor_task_policy.c;opus_codec.c,0,0,True,root-license-pending,candidate,S8 license/security review
bmi260_imu,reusable-component,BMI260 IMU driver,1,include/bmi260_imu.h,1,bmi260_imu.c,0,0,True,root-license-pending,candidate,S8 license/security review
board_adc,board-specific,Board ADC access and calibration helpers,1,include/board_adc.h,1,board_adc.c,0,0,True,root-license-pending,candidate,S8 license/security review
board_power,board-specific,Board power-state abstraction,1,include/board_power.h,1,board_power.c,0,0,True,root-license-pending,candidate,S8 license/security review
bringup_test,board-specific,Board-wide bring-up test coordinator,1,include/bringup_test.h,1,bringup_test.c,1,0,True,root-license-pending,candidate,S8 license/security review
bus_i2c,reusable-component,Shared I2C bus owner,1,include/bus_i2c.h,1,bus_i2c.c,0,0,True,root-license-pending,candidate,S8 license/security review
bus_spi,reusable-component,Shared SPI bus owner,1,include/bus_spi.h,1,bus_spi.c,0,0,True,root-license-pending,candidate,S8 license/security review
camera_hal,reusable-component,Camera capability abstraction,2,include/camera_hal.h;include/camera_hal_policy.h,2,camera_hal.c;camera_hal_policy.c,0,0,True,root-license-pending,candidate,S8 license/security review
capability_registry,reusable-component,Runtime capability registry,1,include/capability_registry.h,1,capability_registry.c,0,0,True,root-license-pending,candidate,S8 license/security review
display_hal,reusable-component,Display capability abstraction,1,include/display_hal.h,1,display_hal.c,0,0,True,root-license-pending,candidate,S8 license/security review
es7210_adc,reusable-component,ES7210 microphone ADC adapter,1,include/es7210_adc.h,1,es7210_adc.c,0,0,True,root-license-pending,candidate,S8 license/security review
es8311_codec,reusable-component,ES8311 audio codec adapter,1,include/es8311_codec.h,1,es8311_codec.c,0,0,True,root-license-pending,candidate,S8 license/security review
io_expander,reusable-component,TPT29555A IO-expander adapter,1,include/io_expander.h,1,io_expander.c,0,0,True,root-license-pending,candidate,S8 license/security review
laiwfs300,board-specific,L-AIWFS300 board-support component,4,include/board_laiwfs300.h;include/board_module_map.h;include/board_pins.h;include/board_power_map.h,6,board_audio.c;board_camera.c;board_display.c;board_laiwfs300.c;board_motor.c;board_touch.c,0,0,True,root-license-pending,candidate,S8 license/security review
lte_hal,reusable-component,LTE/CAT1 capability abstraction,1,include/lte_hal.h,1,lte_hal.c,0,0,True,root-license-pending,candidate,S8 license/security review
module_detect,reusable-component,Module detection state model,1,include/module_detect.h,1,module_detect.c,0,0,True,root-license-pending,candidate,S8 license/security review
net_mgmt,binary-adapter,Self-developed binary network adapter,1,include/lsd_net_mgmt.h,0,,0,7,True,self-developed-license-abi-source-form-pending,hold,S8 license/security review
network_manager,reusable-component,Unified Wi-Fi/CAT1 policy and state manager,3,include/network_manager.h;tests/idf_project/components/lte_hal/include/lte_hal.h;tests/idf_project/components/net_mgmt/include/lsd_net_mgmt.h,10,network_manager.c;network_manager_cellular_runtime_model.c;network_manager_dual_runtime_model.c;network_manager_event_journal.c;network_manager_policy.c;network_manager_storage_model.c;network_manager_storage_nvs.c;network_manager_wifi_config.c;network_manager_wifi_runtime_model.c;network_manager_wifi_scan.c,57,0,True,root-license-pending,candidate,S8 license/security review
pt2466_motor,reusable-component,PT2466 motor driver,1,include/pt2466_motor.h,1,pt2466_motor.c,0,0,True,root-license-pending,candidate,S8 license/security review
robot_motion,reusable-component,Robot motion abstraction,1,include/robot_motion.h,1,robot_motion.c,0,0,True,root-license-pending,candidate,S8 license/security review
storage_hal,reusable-component,TF/storage capability abstraction,1,include/storage_hal.h,1,storage_hal.c,0,0,True,root-license-pending,candidate,S8 license/security review
touch_hal,reusable-component,Touch capability abstraction,1,include/touch_hal.h,1,touch_hal.c,0,0,True,root-license-pending,candidate,S8 license/security review
xiaozhi_agent,reusable-component,Xiaozhi protocol/session adapter,5,include/xiaozhi_agent.h;include/xiaozhi_agent_listen_mode_policy.h;include/xiaozhi_agent_tts_barrier_policy.h;include/xiaozhi_agent_vad_stop_policy.h;include/xiaozhi_agent_ws_start_policy.h,5,xiaozhi_agent.c;xiaozhi_agent_listen_mode_policy.c;xiaozhi_agent_tts_barrier_policy.c;xiaozhi_agent_vad_stop_policy.c;xiaozhi_agent_ws_start_policy.c,0,0,True,root-license-pending,candidate,S8 license/security review
xiaozhi_audio,reusable-component,Xiaozhi audio path adapter,1,include/xiaozhi_audio.h,1,xiaozhi_audio.c,0,0,True,root-license-pending,candidate,S8 license/security review
