id,directory,type,public_status,source_present,project_name,project_matches_directory,target_board,target_chip,validated_idf,host_tests,clean_build,flash,functional_test,dependencies,binary_assets,license_status,credential_status,docs_status,verification_status,evidence_date,known_issues,source_evidence,pending_confirmation
EX-001,display_demo,standalone,publish-with-limitations,True,display_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,display_hal;laiwfs300,0,root-license-pending,review-required,"needs-fields:limitations,license",构建通过，当前四色待实机复核,2026-08-31,Current four-color source awaits device replay,requirements.md:9.3; CODE/examples/display_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-002,motor_demo,standalone,publish,True,motor_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,laiwfs300;pt2466_motor;robot_motion,0,root-license-pending,no-static-hit-in-s0-scan,"needs-fields:limitations,license",已验证,2026-06-12,Requires a supervised test area,requirements.md:9.3; CODE/examples/motor_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-003,touch_demo,standalone,publish,True,touch_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,laiwfs300;touch_hal,0,root-license-pending,no-static-hit-in-s0-scan,"needs-fields:limitations,license",已验证,2026-06-15,Single-touch path,requirements.md:9.3; CODE/examples/touch_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-004,rtc_demo,standalone,publish,True,rtc_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,aip8563_rtc;laiwfs300,0,root-license-pending,no-static-hit-in-s0-scan,"needs-fields:limitations,license",已验证,2026-06-15,RTC hardware required,requirements.md:9.3; CODE/examples/rtc_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-005,imu_6axis_demo,standalone,publish-with-limitations,True,imu_6axis_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,bmi260_imu;display_hal;esp_timer;laiwfs300;launcher_return;lvgl;touch_hal,0,root-license-pending,review-required,"needs-fields:dependencies,limitations,license",构建通过,2026-07-19,Extended UI awaits device validation,requirements.md:9.3; CODE/examples/imu_6axis_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-006,led_demo,standalone,publish,True,led_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,laiwfs300;led_strip,0,root-license-pending,no-static-hit-in-s0-scan,"needs-fields:dependencies,limitations,license",已验证,2026-07-06,500 ms color cycle,requirements.md:9.3; CODE/examples/led_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-007,audio_demo,standalone,publish-with-limitations,True,audio_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,laiwfs300,0,root-license-pending,review-required,"needs-fields:limitations,license",待复核,2026-07-27,Current audio quality and TDM handling require review,requirements.md:9.3; CODE/examples/audio_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-008,audio_ns_demo,standalone,publish-with-limitations,True,audio_ns_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,audio_processor;display_hal;esp_timer;io_expander;laiwfs300;launcher_return;lvgl;touch_hal,0,root-license-pending,review-required,needs-fields:limitations,部分实机验证,2026-07-27,Audio quality and repeat-run behavior remain unverified,requirements.md:9.3; CODE/examples/audio_ns_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-009,audio_opus_demo,standalone,publish-with-limitations,True,audio_opus_demo,True,laiwfs300,esp32s3,5.5.4,present,historical-evidence-or-pending,see-formal-status,see-formal-status,audio_processor;display_hal;esp_timer;io_expander;laiwfs300;lvgl;touch_hal,0,root-license-pending,review-required,fields-present,已验证,2026-07-17,Managed ESP-Opus dependency,requirements.md:9.3; CODE/examples/audio_opus_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
EX-010,audio_aec_demo,standalone,publish-with-limitations,True,audio_aec_demo,True,laiwfs300,esp32s3,5.5.4,none-found,historical-evidence-or-pending,see-formal-status,see-formal-status,audio_processor;io_expander;laiwfs300,0,root-license-pending,review-required,"needs-fields:limitations,license",当前回归未通过,2026-08-07,Current source disables active AEC and must not be presented as an AEC pass,requirements.md:9.3; CODE/examples/audio_aec_demo/CMakeLists.txt,S8 license/security gate; current unverified behavior remains pending
